"","Trt","mean4maxOzone","Fac.Latitude","Fac.Longitude","pctCapacity_byHI","Phase2","mean4MaxTemp","PctUrban","PctWhite","PctBlack","PctHisp","PctHighSchool","MedianHHInc","PctPoor","PctOccupied","PctMovedIn5","MedianHValue","logHeatInput","logPopPerSQM","mostlyGas","small_nunits","med_nunits","cluster","neigh","id"
"186",FALSE,0.022,27.5667,-99.5083,0.792101241540533,1,2.43828911027837,0.992542534584195,0.832055970742566,0.00568452854189855,0.953450469072985,0.186069751174178,-1.5964118900985,0.361150373789779,0.915812917594655,0.442349507896544,-0.809577997975861,0.457476796487681,1.22528191788019,1,0,1,42,42,"186"
"187",TRUE,0.023,32.8364,-96.5464,0.216537667239385,1,0.969695197923331,0.930448098001289,0.845251047711154,0.0673456640876854,0.0880581076724694,0.225452649076775,1.57183753297136,0.0363579009493961,0.965447756771173,0.550337630448128,-0.041747355478344,0.523692542876011,0.398129675972749,1,1,0,43,43,"187"
"188",FALSE,0.0215,32.9503,-96.9756,0.176822480859422,1,0.968183780517821,0.997166469595448,0.739441530485402,0.0906502339589081,0.233242630041739,0.146456714163798,2.36368525469936,0.0736034417625874,0.946334272656231,0.687961276455985,1.03849929807343,0.464431795915478,1.13590900511306,1,0,1,43,43,"188"
"189",FALSE,0.016,32.7769,-96.7228,0.115992230050999,1,0.969695197923331,0.998232149063297,0.512065609542737,0.222821309328722,0.426126319028769,0.20875059102405,-0.280802665081532,0.174995054156485,0.939428214717286,0.575334118780865,-0.0454161486991972,-0.287053346207686,1.17678130260403,1,0,1,43,43,"189"
"190",FALSE,0.038,31.9858,-106.4322,0.546610057617676,1,1.18915300520356,0.968261252661723,0.654306483589103,0.0977311109479404,0.580751156472575,0.261271452118548,-0.590909173878764,0.216198550655994,0.92769647696477,0.490564384201916,-0.835839379833463,0.734152591176451,-0.0958993339924551,1,0,1,35,35,"190"
"191",TRUE,0.023,30.4364,-95.5215,0.593091199421392,1,1.46240152818867,0.879573211529712,0.788595184355847,0.07134254592169,0.230531790566762,0.219008882375811,0.335178662511911,0.138657333757556,0.93460235056601,0.592681170601245,-0.35989680178405,0.752616289951061,0.259110711941875,1,1,0,25,25,"191"
"192",FALSE,0.0174,30.0242,-93.875,0.465683681781255,1,1.47123823961627,0.945873675144814,0.555400825126061,0.337565461389935,0.12549834002417,0.3819730344311,-0.633716471256255,0.167742307355088,0.901635259037749,0.42125330180767,-0.990830997724894,1.31890282119958,0.0466501308660695,1,0,1,25,25,"192"
"193",FALSE,0.0138333333333333,29.7239,-95.2258,0.0751444119472721,1,1.46747588388548,0.998505396921082,0.502704147496886,0.213127911010515,0.469587226528512,0.223066303666618,-0.416283023878303,0.21523933002738,0.916691234093369,0.542280796072644,-0.401246477925504,-0.844783995433446,1.28060666004569,1,1,0,25,25,"193"
"194",FALSE,0.013,29.8208,-95.2194,0.109670581160254,1,1.46806039102781,0.995444647551908,0.397009343752503,0.350208650435872,0.498008171231729,0.271399570901448,-1.25167683771263,0.271718904628983,0.909542060837007,0.459807154297846,-1.01707520993682,-0.102623151602524,1.02578223933201,1,1,0,25,25,"194"
"195",FALSE,0.02,29.7268,-95.06,0.0791950960307907,1,1.46732196977904,0.99569729565942,0.780880236345731,0.064692068782668,0.250435573062647,0.336746215037208,0.415081282151577,0.0996425039933065,0.944598819034387,0.475133296561868,-0.689063437396456,0.0702096208219591,0.756344687505747,1,0,1,25,25,"195"
"196",FALSE,0.0126666666666667,29.9414,-95.5333,0.0880925485998877,1,1.4655773130038,0.988323473876918,0.575320164100229,0.186486843092324,0.326705976804429,0.197251004231281,0.86539032983121,0.122552348672681,0.924870830715565,0.628145664463255,0.259641326399107,-0.550415376785077,1.16115734953898,1,1,0,25,25,"196"
"197",TRUE,0.016,29.4828,-95.6311,0.704889999754445,1,1.46381492692508,0.998638575131127,0.415387043193812,0.341361906315781,0.317586453153878,0.188336663778316,0.00908047028201243,0.159373384456316,0.942237395927232,0.570143654566136,-0.361824006910586,1.90934853794752,1.23435176666549,0,0,0,25,25,"197"
"198",FALSE,0.018,29.5267,-95.1083,0.0975678851955829,1,1.46732196977904,0.980349046189777,0.842007791046682,0.0359446416027296,0.144170855646684,0.198692994167662,0.308901099572898,0.0669478753124541,0.921525627794978,0.626918949185759,-0.425229055573632,-0.239214443730359,0.591393942153973,1,1,0,25,25,"198"
"199",FALSE,0.022,32.3766,-94.6415,0.194999141085028,1,1.12117280900901,0.649800811646003,0.475855392978145,0.444283108082952,0.129639971704084,0.307387862796834,-0.966103023187176,0.230659851658276,0.900555085144416,0.463852904304221,-0.891419975682771,0.0637872268619698,-0.271767366649556,1,0,1,27,27,"199"
"200",FALSE,0.0255,32.9056,-97.4792,0.244987620198743,1,0.966672363112308,0.914674834545753,0.865327231733183,0.0266671528499456,0.100743252687682,0.304764770998055,0.875387663886118,0.0802049765124789,0.958212701865953,0.627930356085793,-0.07491134369749,0.4427161328436,0.214287967829864,1,0,1,43,43,"200"
"201",FALSE,0.021,32.7611,-97.3367,0.295549635409141,1,0.966672363112308,0.990009131992413,0.681821715409652,0.130445126091741,0.264231156484885,0.235572055861563,-0.515537889336677,0.147501952099948,0.936649894812359,0.596954908424719,-0.778421515096857,-0.525178832526573,0.893390663695007,1,1,0,43,43,"201"
"202",FALSE,0.0275,33.1992,-96.8133,0.173153696009321,1,0.974121491753756,0.823123153274621,0.823209214263175,0.0363894546602025,0.0904787859663215,0.22514032764275,1.91178879388149,0.0487593615023186,0.8828742988638,0.648627939451639,0.226712318648167,-0.35002816829394,-0.076640424321995,1,1,0,43,43,"202"
"203",FALSE,0.027,31.9381,-94.9883,0.25332897921843,1,1.09992899769821,0.204579863739591,0.728898561695685,0.219909159727479,0.0834595003785011,0.337178224785483,-0.960006275554605,0.152111046847889,0.915314514336519,0.421321029626032,-0.675573001510701,0.36517104266389,-0.770782886338402,1,1,0,27,27,"203"
"204",FALSE,0.031,33.6281,-96.3678,0.220590721870557,1,0.981570620395204,0.547937356760886,0.753437738731856,0.0276928953399542,0.033231474407945,0.261384335154827,-1.73091969120109,0.23401250756506,0.862611654615057,0.49112426035503,-1.1861859997865,0.435716845701723,-1.4903619135953,1,0,1,43,43,"204"
